geo_id_ct,muni_nei,fips,total_pop,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Black,Indigenous/Native American,Asian,Native Hawaiian/Pacific Islander,White,Two or More Races,households,Family Households,Nonfamily Households,Households with Children,Households with No Children,over_25_dem,Less than High School,High School Degree or Equivalent,Some College,Bachelor's Degree,Master's Degree,Doctoral/Professional Degree,civ_lf_denom,Employed,Unemployed,hhincome,Owner-Occupied Housing Units,Renter-Occupied Housing Units,workers_16up_denom,Public Transportation,Bicycle,Walking,No Vehicle,One Vehicle,Two or More Vehicles
1005,Stanton Heights (Pittsburgh),42003100500,1845,43.58,56.42,5.04,1.57,5.91,2.38,6.94,12.63,13.22,10.68,19.67,14.47,6.34,1.14,66.18,0,2.93,0,29.76,0.76,877,51.88,48.12,17.45,82.55,1442,6.73,17.61,33.63,23.79,13.73,4.5,1021,95.49,4.51,53317,71.49,28.51,956,16,0.73,5.96,24.29,34.78,40.93
1011,Upper Lawrenceville (Pittsburgh),42003101100,2573,47.88,52.12,3.23,2.29,4.51,4.74,9.25,33.46,16.52,7.35,10.69,4.47,1.83,1.67,15.93,0,1.28,0,80.37,2.41,1232,34.17,65.83,13.72,86.28,1955,8.24,27.72,16.62,32.58,10.49,4.35,1754,96.69,3.31,54457,52.27,47.73,1675,10.63,0.78,5.97,15.26,43.18,41.55
1014,Morningside (Pittsburgh),42003101400,3083,44.28,55.72,4.35,4.44,5.97,3.31,5.22,19.36,15.02,14.11,10.64,10.8,5.32,1.46,8.34,0.52,1.91,0,87.87,1.36,1483,56.84,43.16,22.72,77.28,2365,6.3,20.17,21.69,27.78,18.52,5.54,1709,94.85,5.15,63792,66.08,33.92,1564,14,2.3,2.3,17.46,41.2,41.34
1016,Garfield (Pittsburgh),42003101600,1043,38.35,61.65,9.49,11.89,8.15,5.75,6.42,21.19,9.49,6.33,11.12,5.27,4.03,0.86,82.07,0,0,0,12.85,2.21,399,69.92,30.08,43.11,56.89,608,6.74,45.07,23.85,15.13,9.21,0,429,91.61,8.39,29375,33.08,66.92,379,28.5,7.65,0,31.58,44.36,24.07
1017,Garfield (Pittsburgh),42003101700,1327,48.61,51.39,6.33,5.2,6.71,0.53,5.8,20.95,15.52,8.21,14.24,9.5,3.77,3.24,60.74,1.28,3.32,0,30.97,1.88,646,35.29,64.71,14.86,85.14,1001,7.39,32.77,32.37,17.38,6.19,3.9,811,93.34,6.66,37406,53.56,46.44,706,18.56,11.76,11.33,21.67,54.49,23.84
1018,Stanton Heights (Pittsburgh),42003101800,2621,48.65,51.35,5.04,2.29,3.32,3.43,8.05,15.95,11.41,13.96,15.15,14.57,5.88,0.95,20.83,0,0.53,0,74.4,3.43,1212,55.53,44.47,17.82,82.18,2041,5.59,24.79,19.26,29.01,13.77,7.59,1658,93.67,6.33,65776,83.75,16.25,1470,11.84,1.16,3.95,7.84,46.95,45.22
103,Bluff (Pittsburgh),42003010300,6652,57.28,42.72,1.34,0.5,0,0.84,59.38,18.51,8.18,5.38,3.76,1.19,0.66,0.27,29.28,0.42,3.44,0,61.46,5.08,322,44.41,55.59,29.5,70.5,2524,15.85,38.35,33.04,7.69,3.05,2.02,1882,89.48,10.52,23603,17.39,82.61,1507,10.55,0.6,45.39,22.67,58.39,18.94
1102,Highland Park (Pittsburgh),42003110200,3973,54.42,45.58,5.34,2.34,3.88,2.11,10.29,24.11,12.33,11.93,11.98,10.02,3.57,2.09,21.39,0.28,4.23,0,68.99,4.61,1979,41.59,58.41,15.41,84.59,3021,0.1,12.91,19.56,28.17,25.46,13.81,2486,97.95,2.05,66648,42.75,57.25,2342,20.41,5.08,1.28,11.57,46.69,41.74
1106,Highland Park (Pittsburgh),42003110600,2390,43.1,56.9,5.02,5.27,4.94,0.96,6.61,18.12,16.11,11.84,13.56,11.67,3.81,2.09,12.89,0,3.26,0,81.26,1.3,1113,53.82,46.18,23.27,76.73,1845,2.6,12.74,13.82,23.31,27.32,20.21,1354,98.38,1.62,91414,67.21,32.79,1336,14.15,2.62,3.14,12.94,30.55,56.52
1113,East Liberty (Pittsburgh),42003111300,3013,52.77,47.23,4.81,6.34,4.35,3.05,4.05,25.69,13.71,11.45,11.82,7.1,3.88,3.75,37.84,0,3.68,0,49.75,6.74,1434,43.1,56.9,21.55,78.45,2332,6.48,17.58,23.5,23.11,19.13,10.2,1734,96.71,3.29,40156,38.91,61.09,1646,18.77,3.16,8.63,30.82,41.21,27.96
1114,Garfield (Pittsburgh),42003111400,1469,47.24,52.76,4.42,0.88,7.56,3.68,9.6,28.52,9.67,13.21,8.58,7.76,5.04,1.09,55,0,2.72,0,34.38,6.94,627,43.06,56.94,17.54,82.46,1085,6.64,25.99,29.68,26.18,8.02,3.5,823,90.89,9.11,41250,42.26,57.74,748,27.81,2.81,9.89,39.87,37.64,22.49
1115,East Liberty (Pittsburgh),42003111500,2770,35.05,64.95,3.18,1.52,2.92,1.37,13.5,24.51,10.04,6.61,11.19,14.04,7.11,4.01,51.81,0,12.02,0,34.01,2.17,1874,21.08,78.92,9.98,90.02,2147,10.53,19.28,23.61,23.15,14.11,9.31,1486,96.64,3.36,27003,8.06,91.94,1436,46.66,2.3,7.1,44.4,49.15,6.45
1203,Lincoln-Lemington-Belmar (Pittsburgh),42003120300,2098,55.67,44.33,2.29,5.96,6.86,5.24,4.96,18.45,18.3,8.2,11.11,6.1,8.63,3.91,67.35,0,0,0.38,25.83,5.43,830,45.9,54.1,23.13,76.87,1567,8.36,40.33,29.61,13.15,8.23,0.32,1134,94.8,5.2,31429,54.82,45.18,1075,39.91,0,0.84,42.53,39.64,17.84
1204,Larimer (Pittsburgh),42003120400,721,57.7,42.3,7.77,13.45,5.69,7.91,4.44,2.91,17.34,13.45,9.71,10.96,4.85,1.53,76.42,0,9.57,0,2.91,11.1,325,51.08,48.92,26.15,73.85,438,22.83,39.95,31.96,5.25,0,0,310,77.74,22.26,20972,57.85,42.15,241,39.42,0,7.05,51.69,32.92,15.38
1207,Homewood West (Pittsburgh),42003120700,882,40.14,59.86,8.5,14.63,10.09,0,2.95,24.15,2.27,6.01,8.84,8.28,9.75,4.54,93.2,1.02,1.7,0,1.93,2.15,378,37.57,62.43,22.75,77.25,563,22.91,40.85,28.95,2.49,4.8,0,217,78.8,21.2,22625,36.24,63.76,171,11.7,1.17,5.85,40.21,33.07,26.72
1208,Larimer (Pittsburgh),42003120800,836,52.87,47.13,5.86,6.94,10.29,4.43,7.66,7.18,14.83,4.67,10.41,12.2,6.46,9.09,80.38,0,0,0,16.75,2.87,266,57.52,42.48,41.35,58.65,542,18.82,36.9,34.87,8.12,1.29,0,252,78.57,21.43,19085,30.45,69.55,186,40.86,0,8.6,61.65,31.95,6.4
1301,Homewood North (Pittsburgh),42003130100,1702,38.01,61.99,4.47,8.93,13.34,8.28,1.82,15.86,14.63,10.81,10.52,4.29,5.7,1.35,97.53,0,0,0,0.71,1.76,779,49.55,50.45,31.96,68.04,1075,13.12,46.33,32.93,4.56,0.74,2.33,557,81.15,18.85,17901,29.65,70.35,439,41.69,0,6.15,55.97,39.54,4.5
1302,Homewood North (Pittsburgh),42003130200,1422,48.73,51.27,9.92,5.34,9.77,0.7,6.89,14.42,10.06,8.58,17.44,8.23,3.38,5.27,90.44,0,0,0,7.59,1.97,521,69.48,30.52,37.81,62.19,958,10.02,42.17,31,14.61,2.19,0,520,82.88,17.12,28393,61.8,38.2,399,47.37,0,9.77,36.28,51.25,12.47
